Age,Monthly_Income,Debt_to_Income,Credit_Score,Loan_Amount,Employment_Years,Dependants,Prior_Defaults,Collateral_Value,Credit_Accounts,Utility_Latency,App_Session_Time,Social_Sentiment,Mobile_Data_Use,Ecommerce_Freq,Savings_Score,Community_Score,Night_Activity,Contact_Diversity,Bill_Consistency,Loan_Status
56,3427.03,0.1657,529,32827.57,5.32,1,0,29885.24,7,5.53,84.58,0.2166,11.88,14,78.49,73.89,0.067,279,0.9199,0
43,5851.43,0.05,686,29058.65,0.85,0,0,65702.71,9,3.44,63.76,0.1661,12.14,12,50.29,70.77,0.1449,260,0.5774,1
27,2612.54,0.1419,707,37025.55,34.44,1,0,63573.1,9,1.62,82.34,0.2278,26.83,8,73.83,100.0,0.3041,260,0.8485,1
58,7560.42,0.2712,783,28231.42,12.33,1,0,44502.52,9,2.17,82.53,0.226,51.52,8,59.79,73.56,0.1004,266,0.9446,1
40,12739.61,0.3747,767,18881.28,9.15,0,0,54721.85,10,0.42,65.74,0.3276,11.13,10,49.38,71.42,0.2359,258,0.7945,1
47,6122.53,0.0899,592,28360.98,21.05,1,0,39244.17,6,0.48,102.69,-0.3479,27.67,14,51.31,69.18,0.1981,284,0.4656,1
51,5981.82,0.0974,688,14089.84,8.43,2,0,48340.58,10,0.25,93.56,0.1998,13.24,10,72.93,97.03,0.0719,256,0.4507,1
55,4675.45,0.1111,732,28130.71,7.65,2,0,67267.9,17,0.5,92.58,0.1383,10.07,14,63.84,50.99,0.0883,277,0.9439,1
49,14484.55,0.1602,510,16323.3,20.92,1,0,25500.33,8,1.2,104.69,0.1346,21.2,14,70.08,92.45,0.0204,257,0.994,1
35,3457.75,0.1724,627,15497.31,10.31,4,0,21775.07,16,0.02,84.25,0.4192,30.0,7,23.49,60.32,0.1752,264,0.9563,1
49,4654.14,0.05,609,21427.9,2.7,1,0,32694.86,8,0.29,81.32,0.4206,12.08,9,87.08,87.88,0.0555,256,0.7764,1
47,6872.61,0.2223,740,25174.03,9.78,0,0,60403.62,6,0.36,111.0,0.1587,23.79,12,55.18,63.69,0.2375,263,0.8834,1
41,8878.18,0.1076,544,13256.54,4.22,1,0,32473.59,5,0.12,90.55,0.3254,14.72,13,56.38,75.25,0.1156,256,0.8173,1
41,4000.84,0.1421,770,19956.74,2.85,2,0,34093.65,10,4.65,78.52,0.9421,15.62,14,97.84,100.0,0.3375,266,0.7778,1
62,6907.19,0.1364,717,18033.23,2.56,1,0,60725.28,11,0.92,94.92,0.6343,7.65,8,60.53,72.22,0.3353,264,0.7786,1
26,832.1,0.8775,458,48086.44,0.1,2,1,27070.71,1,19.7,5.23,-0.6977,6.14,4,17.38,10.82,0.47,58,0.0919,0
53,6706.17,0.1028,774,12950.37,0.58,1,0,37313.98,9,0.24,80.4,-0.1078,12.96,11,61.6,78.04,0.0698,256,0.8447,1
51,4169.85,0.1791,625,43831.85,8.52,2,0,67971.64,12,0.58,72.11,0.5777,13.99,14,67.93,76.48,0.2238,284,0.6863,1
23,3595.94,0.8129,601,19451.01,0.41,5,0,14455.55,2,12.78,24.62,-0.179,2.94,1,7.35,23.18,0.7663,59,0.0203,0
40,3903.88,0.3317,680,12128.47,12.94,1,0,12823.98,11,0.11,50.05,0.4127,21.54,8,51.36,70.63,0.1405,283,0.8991,1
37,4342.0,0.5047,714,19502.48,0.8,0,0,25446.43,10,3.3,100.11,0.2285,19.07,13,64.42,69.84,0.0924,277,0.7145,1
54,4566.98,0.0765,623,29537.06,5.95,1,0,76616.3,4,1.46,116.39,-0.3651,8.47,7,81.15,73.26,0.0072,252,0.7566,1
24,3146.73,0.6828,500,21781.39,0.33,4,0,11204.53,7,0.77,24.13,-0.4212,4.04,3,30.18,31.14,0.1518,69,0.1559,1
19,1458.99,0.6875,484,39848.98,0.46,1,1,58324.95,4,0.58,0.0,-0.5674,1.09,2,16.71,31.16,0.5178,63,0.3516,0
57,2492.59,0.1278,717,17186.8,6.05,1,0,18417.55,13,0.58,57.02,0.1971,19.53,13,46.67,89.9,0.1852,285,0.4629,1
43,5068.86,0.1683,746,20111.96,2.9,3,0,41082.27,6,2.62,95.18,0.3487,16.43,3,66.64,60.77,0.3748,262,0.546,1
44,3967.88,0.1916,587,17758.4,32.15,0,0,36768.94,15,1.18,82.78,0.4542,10.83,10,34.54,54.96,0.0175,263,0.458,1
44,6696.27,0.0809,780,35918.27,3.53,2,0,75059.76,6,0.4,74.76,0.3772,4.19,5,80.69,72.65,0.2589,268,0.4542,1
41,6409.21,0.3971,744,18929.06,2.67,2,0,39515.74,8,0.16,71.5,0.6505,17.85,9,63.1,61.59,0.0975,247,0.8394,1
42,4880.53,0.6288,401,31921.9,5.95,6,0,41039.03,3,12.68,39.06,-0.6191,2.14,1,40.51,16.06,0.3924,52,0.304,0
23,4160.77,0.3378,549,10514.85,2.51,6,3,19172.85,2,9.09,27.14,-0.2898,0.93,5,14.3,39.9,0.7239,78,0.5217,0
57,6501.77,0.05,850,42947.64,11.4,1,0,48847.75,11,0.46,68.86,0.6985,5.6,13,71.91,70.91,0.371,258,0.6242,1
44,3775.34,0.1505,607,35297.93,12.14,1,0,53234.87,8,1.48,78.46,0.4619,6.93,14,80.8,71.71,0.094,245,0.8299,1
48,8050.98,0.1424,635,20396.03,7.65,3,0,29311.8,5,1.55,78.98,0.1928,5.83,17,75.36,61.51,0.4017,280,0.8132,1
49,5176.45,0.1624,638,18654.89,20.99,1,0,14910.15,7,0.73,108.01,0.1567,26.43,12,81.08,92.31,0.0559,237,0.7699,1
46,6717.89,0.252,746,19603.46,10.04,1,0,27358.76,7,0.55,79.3,0.1636,18.56,14,59.36,67.57,0.0482,291,0.5679,1
44,5425.96,0.1819,799,29550.25,5.09,2,0,40832.68,9,3.45,54.62,0.7989,4.87,10,53.88,44.32,0.0816,238,0.8267,1
47,7900.76,0.4136,727,15343.75,4.14,0,0,36587.44,7,1.88,59.61,-0.1854,10.58,1,47.51,85.75,0.3056,241,0.8237,1
49,10663.36,0.0979,684,8154.66,0.2,3,0,7997.88,5,0.56,79.14,0.2193,12.46,9,67.58,52.16,0.1128,259,0.7715,1
36,3155.68,0.2988,482,23332.91,7.67,1,0,42141.04,5,2.56,52.56,-0.1159,3.51,8,64.7,89.56,0.3315,263,0.9035,1
47,14107.78,0.1123,687,13678.35,3.55,2,0,15393.24,11,1.42,93.76,0.0901,32.0,13,55.63,82.97,0.2472,243,0.5872,1
41,5942.47,0.05,748,23472.55,5.1,1,0,76655.33,8,0.02,120.03,0.8805,36.55,7,51.56,64.61,0.3798,240,0.9377,1
28,868.15,0.2078,389,28092.3,2.77,2,0,38514.29,1,16.95,45.98,-0.676,1.88,3,43.86,32.5,0.7822,60,0.0438,0
30,2259.24,0.4999,457,23726.17,0.04,1,0,20427.7,2,45.0,17.15,0.1198,2.52,1,12.96,37.93,0.5473,37,0.2212,0
46,7536.65,0.05,460,24589.25,3.54,1,0,36856.4,10,0.8,89.06,0.3189,13.27,17,64.64,99.78,0.1545,289,0.861,1
50,6995.8,0.3461,614,49193.14,2.43,1,0,77132.89,6,3.41,72.6,0.5885,20.05,14,68.42,100.0,0.1291,252,0.9464,1
41,1183.35,0.7191,517,13813.01,0.52,1,2,11068.98,2,3.28,16.39,0.028,3.43,3,10.27,34.18,0.6216,52,0.0212,0
47,5375.19,0.4045,766,39917.29,1.44,3,0,48553.39,5,1.05,96.2,0.5872,40.93,14,68.31,87.65,0.112,264,0.716,1
45,6613.59,0.3481,652,30394.97,36.04,1,0,85039.76,10,4.42,69.31,0.237,6.51,13,70.05,57.74,0.2044,239,0.8011,1
26,1744.17,0.7158,498,13771.17,3.3,4,0,22034.48,1,7.06,20.79,-0.2954,1.68,2,0.0,15.01,0.5787,49,0.0863,0
43,10331.9,0.2869,567,30802.27,6.67,1,0,63583.59,14,1.33,66.05,-0.172,14.3,16,80.45,85.75,0.0061,242,0.8101,1
28,2337.32,0.6714,544,64773.65,0.04,4,2,110628.82,4,2.3,32.72,-0.4576,0.91,1,27.24,34.31,0.3843,53,0.1144,0
44,8874.52,0.2831,724,8986.0,17.64,3,0,22876.99,6,1.72,88.72,-0.0161,12.09,8,43.67,100.0,0.5207,262,0.8525,1
38,1080.23,0.5538,539,14151.82,2.56,0,1,11033.18,4,11.25,9.44,-0.4816,2.31,4,21.89,4.49,0.5385,59,0.1055,0
60,5926.22,0.3271,633,30536.69,10.83,0,0,103760.29,8,0.77,56.15,0.6936,21.04,13,71.84,86.96,0.3329,276,0.658,1
30,4409.8,0.05,756,12483.98,0.98,3,0,11832.02,10,0.65,77.77,0.0942,13.12,13,90.51,62.32,0.3194,279,0.8748,1
49,3059.81,0.2258,724,20552.74,4.43,1,0,28799.18,5,0.43,108.07,0.5833,14.24,11,71.19,66.86,0.2793,237,0.714,1
49,16099.64,0.1813,811,16898.9,6.85,1,1,26774.69,8,0.52,65.78,-0.231,8.21,16,64.17,93.34,0.1334,248,0.4566,1
38,4561.4,0.1617,694,15670.66,7.05,2,0,12456.71,6,1.64,112.72,0.4724,14.86,11,48.41,100.0,0.3397,246,0.807,1
53,8224.06,0.185,640,18688.01,18.3,0,1,24121.2,6,0.74,76.54,0.445,32.82,13,68.94,84.57,0.2021,248,0.81,1
47,13368.28,0.05,720,30037.71,13.4,1,0,67937.66,13,1.1,103.03,0.475,16.43,13,81.02,75.7,0.202,222,0.876,0
56,5272.05,0.1019,656,15651.3,3.14,2,0,15049.28,11,0.14,45.02,0.3504,6.95,15,82.17,75.36,0.2381,272,0.8723,1
29,12914.19,0.3342,758,14936.59,12.17,0,0,57956.43,14,1.15,78.96,0.1683,25.42,14,60.87,75.22,0.295,265,0.7303,1
38,9041.02,0.2233,715,23660.03,40.0,1,0,54685.31,10,0.21,89.47,0.2229,14.98,12,76.37,100.0,0.2001,260,0.6633,1
50,5850.91,0.05,703,30937.56,4.08,0,0,62625.61,5,0.82,60.09,0.5018,13.57,9,62.15,65.46,0.2633,267,0.9073,0
40,4761.37,0.4321,692,7581.3,8.59,1,0,12912.42,12,0.11,54.76,-0.2279,6.69,6,52.74,67.54,0.1475,293,0.9665,1
29,5741.89,0.5615,720,8841.33,25.47,2,0,12056.15,4,0.97,96.6,0.3712,15.16,14,66.5,84.13,0.1436,300,0.8121,1
29,3473.01,0.5582,485,26567.88,3.06,2,1,17426.24,2,0.64,0.0,-0.0337,1.62,2,31.18,12.84,0.4479,75,0.5316,1
53,4048.04,0.0533,585,17125.46,10.8,0,0,23066.62,3,1.04,78.16,0.4866,7.11,17,50.31,73.12,0.127,277,0.7971,1
34,1697.86,0.7023,375,35111.9,1.27,1,1,55961.36,1,1.84,6.65,0.4243,4.6,4,28.44,31.8,0.7609,59,0.184,0
44,3681.06,0.307,699,29118.12,3.71,2,0,54227.73,12,1.79,76.07,-0.224,5.22,14,77.14,73.69,0.055,278,0.6874,1
42,3097.01,0.5181,761,49886.39,1.6,0,0,109178.95,8,1.37,112.21,0.3897,10.82,17,68.05,69.11,0.2866,240,0.7435,1
47,5680.15,0.0585,660,22496.87,2.15,0,0,26358.53,2,2.47,73.39,0.4583,9.1,8,85.87,100.0,0.3546,257,0.6956,1
37,7423.82,0.2751,600,15527.66,5.32,2,0,18527.21,6,0.24,77.27,0.1352,8.97,15,72.56,84.31,0.2839,262,0.6233,1
39,3738.35,0.1391,771,18451.31,18.95,2,0,44604.24,9,4.39,100.22,0.1296,4.45,9,38.34,85.35,0.4446,252,0.7155,1
48,1203.4,0.7278,464,12687.8,1.11,1,0,13122.0,3,24.05,17.75,-0.6587,3.47,3,19.57,30.95,0.4745,62,0.0797,0
39,3409.42,0.2117,704,40754.56,3.24,0,0,69245.9,9,0.59,80.47,0.1134,17.81,12,34.31,72.88,0.4796,256,0.9297,1
46,13412.3,0.0884,533,21956.82,6.43,0,0,34587.58,4,2.43,67.91,-0.1484,16.27,11,94.67,67.26,0.3865,262,0.7065,1
36,6418.21,0.1134,436,11168.71,8.52,3,0,32923.16,8,0.04,58.33,0.2323,6.31,13,66.09,84.82,0.1797,241,0.7945,1
39,3587.89,0.563,601,23727.27,6.51,1,0,65281.46,7,6.4,128.9,0.623,6.03,12,62.31,100.0,0.2944,284,0.9107,1
41,4814.18,0.157,729,20361.11,7.89,0,1,37051.45,5,0.63,69.84,0.0362,7.92,10,76.97,100.0,0.0828,295,0.7292,1
34,5420.51,0.0803,639,21609.09,11.59,4,0,18269.52,7,1.24,85.62,0.8289,9.98,3,56.61,65.12,0.1908,279,0.7595,1
30,15721.95,0.05,671,37950.81,0.66,2,0,146873.56,6,3.54,84.93,0.4759,8.13,16,72.03,72.56,0.2257,239,0.4702,1
42,2489.58,0.1087,678,47245.28,2.22,2,0,159901.12,8,0.65,123.98,0.241,10.76,12,69.35,48.17,0.0445,289,0.9292,1
22,5115.4,0.05,702,24438.78,4.95,2,0,48943.47,10,1.04,58.84,-0.2063,11.97,10,79.54,73.94,0.5574,277,0.7829,1
32,1141.25,0.7806,481,47622.23,0.32,4,0,40660.67,2,11.33,15.82,-0.1146,3.92,1,39.13,0.0,0.3724,69,0.1829,0
53,4241.69,0.3258,623,24142.45,6.42,1,0,45440.84,5,1.42,80.83,0.4215,15.25,8,59.3,90.66,0.0695,269,0.7011,1
23,2235.58,0.4189,393,20598.87,0.58,3,1,34243.59,1,0.7,33.8,-0.4813,6.62,4,15.6,13.48,0.6575,51,0.2409,0
48,4099.3,0.1612,850,35223.0,3.95,1,0,113378.06,12,1.09,62.35,0.3812,5.75,11,75.9,100.0,0.2948,251,0.9477,1
32,8954.97,0.173,722,28205.19,17.03,2,0,34416.4,8,0.81,86.76,-0.0083,15.05,10,42.3,81.02,0.2873,250,0.7277,1
23,2832.74,0.6115,451,22188.83,7.39,2,2,30154.97,3,1.44,1.7,-0.715,0.94,3,0.0,23.22,0.6943,56,0.1662,0
43,9677.71,0.3323,367,37290.31,0.4,2,2,20676.6,2,21.96,8.17,-0.7281,6.23,1,9.9,0.0,0.2251,68,0.2747,1
41,4698.09,0.1089,672,12277.33,13.23,0,0,12411.33,5,0.34,63.63,0.5783,42.57,14,100.0,53.21,0.1086,245,0.7543,1
48,9068.77,0.171,738,11797.8,0.04,3,0,58068.64,8,1.96,103.8,0.0404,4.84,8,63.92,84.77,0.0896,284,0.7451,1
41,2678.48,0.1199,562,15899.2,4.99,0,0,21265.76,4,1.65,90.76,0.3567,21.48,8,58.39,92.33,0.1788,245,0.6773,1
36,6337.24,0.2345,850,21087.29,0.79,0,0,79983.01,10,2.66,95.78,0.2379,10.65,8,57.75,52.42,0.1552,253,0.8416,1
37,2696.44,0.0826,811,33317.19,13.89,1,0,53722.98,8,0.2,94.63,0.0489,9.32,8,64.96,93.16,0.1415,269,0.5734,1
28,1471.3,0.727,642,63182.24,2.86,0,0,48377.36,3,15.61,34.25,-0.0593,1.45,3,45.76,33.61,0.6902,63,0.2025,1
36,5667.96,0.1835,665,13260.46,5.01,2,0,37584.5,10,1.34,42.03,0.4896,11.75,9,81.38,100.0,0.273,253,0.707,1
34,6229.19,0.0609,768,53000.19,3.53,1,0,197363.58,6,0.55,49.96,0.7229,8.74,15,84.0,91.03,0.5482,246,0.3374,1
44,2333.09,0.374,789,27200.33,3.72,2,0,29860.58,10,0.73,85.94,0.4965,60.0,11,84.23,99.67,0.1344,273,0.6749,1
21,763.61,0.4631,416,24645.32,2.93,3,0,20360.26,1,1.9,25.07,0.1636,3.2,3,6.18,40.78,0.8363,59,0.1039,0
49,5948.07,0.1338,801,24224.15,11.42,0,0,20327.87,9,0.4,106.53,-0.2275,9.75,7,56.85,38.86,0.0927,247,0.8107,1
31,2085.22,0.6584,484,39947.57,3.32,6,1,53391.45,2,6.13,3.57,0.1954,2.47,4,15.48,0.0,0.5195,58,0.3638,0
37,3979.18,0.1125,635,14482.69,0.4,1,0,18362.62,4,0.01,112.13,0.2873,8.34,17,85.63,100.0,0.1539,279,0.7009,1
37,6124.54,0.1952,702,14524.15,19.46,1,0,24782.41,8,0.1,30.73,0.4247,4.73,15,67.59,66.84,0.1547,275,0.8344,1
52,3085.89,0.05,664,13988.16,0.64,1,0,22165.41,13,1.8,93.48,0.1685,21.54,5,75.13,50.38,0.2022,249,0.6457,1
43,8682.78,0.05,726,24266.09,3.66,2,0,58338.34,7,2.08,111.34,0.2112,5.14,17,81.06,57.35,0.1381,255,0.8226,1
47,6171.07,0.1595,730,28434.76,9.4,3,0,76776.68,11,2.08,60.77,0.2573,28.65,13,67.75,56.47,0.0409,286,0.7829,1
55,4862.28,0.05,713,25521.8,2.74,0,0,46611.51,14,0.36,80.61,0.3809,12.56,7,44.97,97.71,0.0665,234,0.833,1
39,2596.92,0.7795,386,28829.32,1.12,1,1,34965.03,1,0.79,0.0,-0.4537,4.01,1,18.03,25.33,0.7073,53,0.1837,0
44,2819.95,0.347,703,7958.92,21.34,0,0,17028.12,8,1.25,106.85,0.6218,18.75,17,87.2,66.75,0.2076,258,0.7238,1
47,2806.71,0.2162,739,35347.06,10.08,0,0,75696.31,12,2.47,73.19,0.2285,2.98,7,72.99,67.56,0.1966,266,0.774,1
34,8477.14,0.2896,821,19214.76,0.71,2,0,46476.7,12,0.61,77.54,0.2798,10.6,11,65.6,100.0,0.2388,265,0.7697,1
37,2115.41,0.5421,538,44715.31,1.02,1,0,70612.01,1,1.26,0.0,-0.4914,2.62,1,23.54,0.0,0.538,70,0.0808,1
45,4366.0,0.0812,683,29833.81,12.96,3,0,59925.04,11,0.7,67.79,0.8388,7.63,9,90.25,62.31,0.0854,269,0.5668,1
42,6798.24,0.3049,573,27478.75,8.74,0,0,66110.55,8,1.77,82.33,0.3455,11.9,13,57.03,98.03,0.0558,247,0.6966,1
53,19180.19,0.0873,591,50736.66,7.39,0,0,47560.98,15,2.09,105.25,0.1644,18.14,13,73.19,78.03,0.0895,255,0.6966,1
45,7687.69,0.2947,697,32621.97,11.45,0,0,43121.93,5,0.66,98.74,0.5797,6.51,13,79.7,70.69,0.0383,278,0.9526,1
20,1665.93,0.4568,460,39606.04,1.08,0,1,32159.72,3,3.49,0.0,-0.7428,0.97,3,24.15,28.94,0.5964,50,0.1671,0
38,5002.9,0.1648,559,20368.57,19.06,1,0,9114.63,11,0.27,70.81,0.1432,4.74,14,70.74,73.97,0.2955,274,0.7377,1
38,3024.02,0.4605,735,18504.46,5.02,2,1,42713.16,5,2.25,116.29,-0.0238,16.39,10,58.83,93.81,0.022,281,0.8107,1
35,1335.41,0.6015,478,61580.69,2.96,4,0,70122.42,3,0.69,25.19,-0.251,12.86,1,4.11,17.83,0.5209,55,0.269,0
43,6627.5,0.0962,630,63162.76,11.01,2,0,87856.61,9,3.18,58.81,0.7744,6.39,9,70.29,57.37,0.1182,269,0.8085,1
31,11723.95,0.2717,645,27198.41,21.58,2,0,47959.09,8,0.37,104.77,0.298,6.04,12,70.89,79.54,0.2746,261,0.3824,1
31,2949.14,0.1346,650,24267.65,1.57,0,0,52253.57,15,2.75,76.49,0.0806,22.12,11,65.36,74.98,0.1085,271,0.5854,1
53,6215.15,0.05,750,15908.41,2.08,0,0,36489.49,9,0.26,51.81,0.4817,9.01,7,64.4,71.4,0.0251,278,0.7055,1
43,4795.5,0.3858,803,47982.58,2.35,0,0,133407.91,5,1.32,49.06,-0.1945,9.65,16,75.66,100.0,0.0833,242,0.6852,1
46,14258.18,0.05,681,32586.46,0.07,1,0,162932.3,9,0.35,108.29,0.5514,24.64,14,78.11,62.51,0.0901,249,0.7013,1
47,3389.75,0.1518,798,44507.09,3.17,1,0,59486.65,5,0.57,34.81,0.1055,21.91,15,87.26,86.28,0.2022,256,0.8039,1
35,7509.81,0.2081,679,26973.77,6.85,0,0,34179.8,3,0.52,78.01,0.3823,17.93,15,63.85,57.53,0.1856,244,0.633,1
49,9349.42,0.397,727,18078.28,12.64,0,0,34111.36,11,1.29,87.98,0.6526,47.41,9,77.95,100.0,0.2524,242,0.8093,1
44,12328.23,0.1811,652,49335.05,3.01,0,0,155061.75,5,7.43,76.99,-0.016,4.27,13,100.0,66.17,0.4578,252,0.7459,1
31,6964.75,0.4332,710,22716.97,0.19,1,0,106378.85,7,1.34,71.41,0.1416,6.63,9,100.0,61.0,0.0604,272,0.855,1
53,5466.53,0.3044,660,23797.23,9.1,4,0,65675.82,5,0.76,53.93,0.0655,13.6,16,55.94,81.63,0.4154,244,0.6476,1
56,8208.99,0.05,724,25095.23,11.77,1,0,18338.3,5,0.78,69.8,0.424,19.13,19,42.62,86.43,0.1853,271,0.6206,1
28,3025.45,0.6308,443,28805.64,0.3,3,1,52429.08,1,17.93,15.88,-0.2134,3.43,2,13.14,46.63,0.4307,59,0.1579,0
45,12384.56,0.1634,646,16200.35,10.34,0,0,52439.5,11,0.38,66.84,0.1257,11.43,12,69.37,69.08,0.2473,265,0.7663,1
38,25000.0,0.0751,655,12200.31,9.75,1,0,34238.12,6,2.71,110.59,0.4968,10.32,10,49.62,94.4,0.1745,243,0.8218,1
32,1984.81,0.42,538,51591.26,1.92,3,0,59906.29,2,1.17,0.14,-0.6253,2.2,1,18.31,0.0,0.7093,59,0.2661,0
30,4715.73,0.2823,619,10213.72,6.25,0,0,18588.33,11,1.53,70.26,-0.0068,4.28,10,96.11,76.93,0.3519,265,0.8565,1
39,13716.77,0.1549,661,42157.47,4.34,0,0,100887.24,5,0.67,72.32,0.4229,9.72,13,61.28,87.63,0.216,264,0.5882,1
46,5167.52,0.1563,701,41858.08,13.74,0,0,154362.16,8,0.93,77.09,0.5593,27.61,6,62.96,65.97,0.111,256,0.9858,1
42,5801.39,0.05,574,21535.93,21.03,1,0,71196.49,11,2.44,69.12,0.2277,6.74,18,41.87,74.16,0.2128,266,0.6643,1
54,10488.84,0.3907,798,16081.1,3.18,0,0,68241.44,12,1.07,108.14,0.0724,18.87,10,46.4,56.9,0.3655,282,0.8363,1
50,3313.3,0.2141,757,16767.42,16.02,1,0,55304.44,6,2.64,108.63,0.5603,4.38,14,49.87,94.05,0.1437,275,0.879,1
51,3138.92,0.207,612,14994.2,9.61,0,0,12794.85,12,1.04,49.34,0.3474,10.98,11,78.31,85.46,0.0805,241,0.8146,1
18,2424.13,0.494,528,23985.58,5.08,1,1,40510.13,6,2.47,8.33,0.2482,5.04,2,13.47,10.78,0.8356,64,0.087,0
37,4887.61,0.4189,725,15346.0,2.37,1,0,17851.25,10,2.72,94.76,0.3905,8.34,16,64.94,71.08,0.3396,271,0.4858,1
51,4618.5,0.4412,676,17144.14,4.95,1,0,28777.76,4,0.56,81.26,0.097,22.73,10,69.87,50.38,0.1415,248,0.6523,1
32,5619.57,0.5412,782,14947.67,3.86,0,0,23351.93,3,0.02,62.62,0.4042,15.36,15,60.29,51.67,0.5975,267,0.574,1
38,11348.41,0.327,805,17215.36,15.57,0,0,41206.53,10,0.4,102.51,0.1658,20.85,15,75.42,84.55,0.434,246,0.678,1
46,1451.83,0.3107,694,16679.2,4.53,2,0,28131.25,6,4.47,101.1,-0.04,40.67,12,63.02,85.59,0.1104,275,0.8375,1
43,6335.94,0.1395,572,22837.81,1.43,0,0,47177.08,5,2.34,61.98,0.4127,12.4,6,65.28,91.43,0.0786,290,0.8423,1
36,4129.43,0.4261,705,42149.16,7.61,1,0,22724.51,8,1.28,107.32,-0.062,33.81,9,89.64,80.62,0.2662,279,0.9325,1
42,1989.85,0.2183,691,24319.37,20.26,1,0,59723.25,8,1.6,89.89,0.553,10.05,7,70.49,79.24,0.2056,230,0.5418,1
41,5906.59,0.05,667,28433.92,14.09,0,0,61749.26,9,0.52,60.88,-0.055,14.77,8,77.09,72.32,0.1737,275,0.8158,1
44,4066.24,0.2421,691,21126.74,17.4,2,0,32449.83,7,4.05,76.02,0.2551,14.54,10,67.95,75.64,0.1728,250,0.7987,1
41,7329.3,0.1491,783,32193.07,20.46,0,0,60474.99,5,0.62,88.21,-0.1014,5.41,11,66.69,56.17,0.1933,272,0.9458,1
46,9004.06,0.4729,710,14449.99,0.78,1,0,25976.89,11,3.75,93.24,-0.036,40.76,12,66.6,76.24,0.2581,265,0.7203,1
51,18106.01,0.1458,515,13306.31,0.94,1,0,16263.26,8,0.41,117.09,0.3255,19.96,10,71.47,84.78,0.2087,287,0.8165,1
21,5080.22,0.3102,408,18473.61,1.5,4,1,7599.3,5,5.82,0.0,0.0922,1.39,1,15.3,21.22,0.7055,63,0.2259,1
51,5004.26,0.3219,646,27569.67,7.11,3,0,23421.22,2,2.9,95.27,0.0294,22.04,14,52.71,63.38,0.263,249,0.7932,1
47,15092.65,0.0581,773,48892.58,1.39,3,0,121256.35,7,0.4,82.05,0.2506,33.31,11,63.3,71.35,0.1642,244,0.6047,1
39,5620.19,0.1151,624,24584.69,10.32,2,0,56941.27,5,1.66,85.09,0.3761,7.77,10,54.23,73.02,0.1351,236,0.7777,1
34,8092.17,0.2324,660,44874.84,10.74,1,0,113417.48,1,1.03,58.92,0.6314,25.7,10,82.39,37.53,0.1285,250,0.8969,1
47,3879.68,0.2456,699,13901.55,7.83,1,0,15625.75,9,0.41,94.75,0.0763,28.0,13,77.18,100.0,0.2632,268,0.9005,1
45,8745.98,0.05,717,21192.21,17.11,0,0,33440.94,6,0.76,81.44,0.2713,18.71,14,70.53,100.0,0.2703,281,0.7168,1
62,5378.43,0.1758,782,33692.08,15.18,0,0,104404.38,11,0.22,68.25,0.3703,5.12,8,56.48,71.25,0.138,248,0.8872,1
50,13197.76,0.1951,686,18098.77,7.13,0,0,30156.2,8,1.3,85.26,0.1887,16.47,15,73.01,85.08,0.2067,280,0.8658,1
38,9460.61,0.1022,638,22983.3,7.74,3,0,24429.78,7,0.12,39.8,0.2037,15.7,14,81.09,100.0,0.1813,252,0.8685,1
54,7937.55,0.1055,707,24731.58,4.18,0,0,28552.41,6,1.04,60.26,0.086,18.52,12,76.37,79.82,0.1997,298,0.6461,1
42,7346.57,0.3118,611,22887.96,7.98,1,0,51813.46,6,2.58,50.74,0.4139,18.47,13,72.79,74.2,0.2186,257,0.7328,1
46,8130.8,0.1166,779,26969.74,6.33,3,0,67435.67,5,4.08,67.89,0.2622,21.19,10,80.73,64.48,0.0547,240,0.4479,1
61,9242.16,0.05,622,12444.16,40.0,0,0,8695.42,7,0.53,119.6,-0.3778,6.48,14,62.13,100.0,0.428,248,0.826,1
45,2222.3,0.546,568,27509.9,0.69,2,1,9676.17,2,29.46,14.18,0.0441,5.72,5,11.6,34.93,0.5922,55,0.076,0
50,4267.76,0.2379,730,10785.59,2.29,1,0,29142.1,7,1.59,89.74,0.5619,6.69,17,72.84,75.35,0.2031,275,0.958,1
44,14316.94,0.4286,686,61592.35,9.19,2,0,103567.81,11,0.25,65.07,0.0613,8.24,9,62.07,43.16,0.1033,267,0.6146,1
35,6567.94,0.1155,802,11484.69,5.56,1,0,13521.75,5,2.92,108.12,0.5197,28.15,10,58.78,80.27,0.2979,252,0.7367,0
34,1574.07,0.4725,598,25369.17,1.32,3,0,23419.58,1,21.48,0.0,-0.3402,2.77,3,38.5,40.96,0.3902,45,0.3165,0
21,1891.01,0.762,636,28393.57,1.99,6,1,40682.3,2,6.71,37.01,-0.5604,1.91,2,25.93,20.71,0.6169,52,0.2142,0
42,2526.9,0.05,641,34995.79,5.2,0,0,77424.14,6,2.58,102.77,0.4182,8.67,14,87.31,69.31,0.1104,250,0.9067,1
48,3527.55,0.2834,693,25061.83,6.55,0,1,20845.38,8,0.18,87.11,0.4656,26.39,9,44.55,74.73,0.1017,255,0.9077,1
42,4306.19,0.1427,759,20843.92,15.16,0,0,82506.05,8,0.33,73.14,0.4181,11.78,18,57.17,83.98,0.345,273,0.8807,1
29,4562.25,0.6845,566,14876.69,0.27,3,1,12347.34,3,0.63,11.42,-0.4609,3.17,4,25.78,35.38,0.742,56,0.0301,0
